3.75,20.75,27.334,61.052,5.71,11.46,0.08,0.72,6.48,57.85,67.86,15.01,108.34,3.7,14.27,89.565
3.02,22.853,34.505,63.92,6.09,3.22,0.15,0.87,22.16,75.84,109.91,20.24,164.61,3.87,14.15,93.105
2.49,21.6,31.386,69.147,5.17,2.99,0.13,0.77,23.08,52.71,88.13,20.39,143.19,3.87,14.14,95.427
1.7,16.82,28.544,60.766,4.59,3.35,0.13,0.75,22.19,46.07,80.15,21.12,137.11,4.32,14.24,96.743
1.95,10.736,18.257,49.186,3.89,4.01,0.1,0.68,12.52,35.17,54.41,18.86,105.29,2.74,14.26,97.601
3.5,6.799,10.048,30.159,3.95,11.43,0.03,0.59,5.57,26.84,35.3,17.61,82.99,1.5,14.29,97.514
3.03,6.382,10.254,23.844,4,12.26,0.03,0.58,3.09,27.77,32.47,17.21,79.08,1.45,14.73,97.479
3.9,7.114,10.206,23.152,3.58,17.21,0.02,0.57,2.04,23.91,27.02,17.31,73.89,1.36,13.76,97.832
3.13,8.398,11.956,19.336,4.48,13.16,0.01,0.6,2.13,26.08,29.32,17.04,75.48,1.24,14.15,97.609
5.89,9.752,13.461,23.445,4.28,10.18,0.02,0.62,4.03,30.91,37.05,17.02,83.2,0.99,13.87,97.514
8.58,10.495,13.073,23.297,3.76,15.65,0.05,0.67,7.54,33.64,45.12,17.71,93.06,0.91,13.95,96.028
8.44,12.958,16.973,23.168,4.04,16.59,0.07,0.73,10.25,40.27,56.03,17.83,104.17,1.23,14.42,93.803
5.68,14.775,19.458,31.939,3.6,19.95,0.05,0.76,13.99,38.33,59.89,19.1,111.38,1.32,15.01,92.699
9.63,14.589,18.653,32.371,4.11,31.54,0.05,0.72,11.86,37.56,55.79,18.19,104.9,1.31,16.37,87.553
10.5,14.728,18.269,40.129,4.02,38.82,0.02,0.67,8.01,35.28,47.51,17.42,94.65,1.43,17.03,82.992
11.09,16.938,21.064,48.05,4.56,48.78,0.01,0.65,6.31,33.25,42.87,17.16,89.36,1.43,19.69,77.335
14.6,11.942,14.829,41.611,4.28,52.69,0.01,0.65,5.16,29.64,37.48,16.76,82.92,1,20.56,73.818
17.37,17.25,22.15,48.456,4.19,4.79,0.17,0.98,23.76,70.43,106.93,17.59,154.56,2.03,17.73,76.742
20.57,14.227,17.468,46.693,4.08,9.55,0.09,0.79,17.62,45.68,72.72,15.13,113.63,1.8,16.43,79.378
10.64,11.217,12.53,22.703,5,31.65,0.01,0.51,0.55,20.37,21.25,14.01,59.21,0.86,14.47,93.344
10.95,10.293,12.111,19.705,5.72,22.25,0.02,0.56,1.29,32.38,34.35,13.22,70.19,1.08,14.48,92.663
7.01,11.567,14.162,18.98,4.34,21.85,0.03,0.58,3.32,35.55,40.61,13.62,77.51,0.93,14.26,94.227
12.28,6.817,7.9,18.954,4.14,18.4,0.01,0.58,5.88,27.93,36.84,15.3,78.3,0.95,13.92,94.704
10.46,9.929,12.036,23.681,4.26,18.38,0.03,0.61,8.64,33.73,46.89,15.7,89.43,1.18,14.34,91.932
18.59,9.04,11.123,29.738,4.57,29.07,0.01,0.56,5.92,26.35,35.35,15.42,77.1,1.05,14.89,87.527
19.58,9.345,11.362,29.496,5.15,36.73,0,0.52,3.73,25.48,31.16,14.93,71.59,0.76,15.13,83.183
20.48,9.085,10.674,25.108,5.5,36.84,0,0.52,2.93,28.66,33.12,14.48,72.35,0.97,15.36,80.339
22.28,14.841,17.936,37.166,7.47,18.93,0.06,0.62,4.51,48.22,55.19,12.43,88.74,1.12,15.51,76.73
26.22,12.141,14.229,26.108,5.21,24.06,0.02,0.57,2.22,37.27,40.68,12.97,75.83,1.21,15.09,78.101
24.62,11.006,12.768,26.964,5.59,21.23,0.01,0.55,1.64,40.59,43.09,12.76,77.68,1.55,15.3,78.499
22.93,12.259,14.825,27.647,7.89,10.64,0.03,0.57,3.23,51.25,56.22,12.63,90.35,1.82,15.41,78.765
20.22,12.537,15.738,44.058,8.61,4.04,0.13,0.65,15.14,56.21,79.49,15.94,122.47,2.79,15.25,80.35
15.45,17.759,21.737,55.773,9.38,3.37,0.21,0.73,25.22,46.41,85.19,20.02,139.19,3.68,15.11,83.243
